nm    	T%  
582.50 	67.3 
582.00 	67.2 
581.50 	67.2 
581.00 	67.1 
580.50 	67.0 
580.00 	66.9 
579.50 	66.9 
579.00 	66.8 
578.50 	66.6 
578.00 	66.6 
577.50 	66.5 
577.00 	66.4 
576.50 	66.3 
576.00 	66.2 
575.50 	66.1 
575.00 	66.0 
574.50 	65.9 
574.00 	65.8 
573.50 	65.8 
573.00 	65.6 
572.50 	65.5 
572.00 	65.4 
571.50 	65.3 
571.00 	65.2 
570.50 	65.1 
570.00 	64.9 
569.50 	64.8 
569.00 	64.8 
568.50 	64.6 
568.00 	64.4 
567.50 	64.3 
567.00 	64.2 
566.50 	64.1 
566.00 	64.0 
565.50 	63.8 
565.00 	63.7 
564.50 	63.6 
564.00 	63.4 
563.50 	63.3 
563.00 	63.2 
562.50 	63.0 
562.00 	62.9 
561.50 	62.8 
561.00 	62.6 
560.50 	62.5 
560.00 	62.4 
559.50 	62.2 
559.00 	62.1 
558.50 	62.0 
558.00 	61.8 
557.50 	61.7 
557.00 	61.6 
556.50 	61.4 
556.00 	61.3 
555.50 	61.2 
555.00 	61.2 
554.50 	61.0 
554.00 	61.0 
553.50 	60.8 
553.00 	60.6 
552.50 	60.6 
552.00 	60.4 
551.50 	60.2 
551.00 	60.2 
550.50 	60.0 
550.00 	59.9 
549.50 	59.9 
549.00 	59.7 
548.50 	59.5 
548.00 	59.5 
547.50 	59.3 
547.00 	59.2 
546.50 	59.2 
546.00 	59.0 
545.50 	58.9 
545.00 	58.8 
544.50 	58.7 
544.00 	58.6 
543.50 	58.5 
543.00 	58.4 
542.50 	58.3 
542.00 	58.2 
541.50 	58.1 
541.00 	58.0 
540.50 	58.0 
540.00 	57.8 
539.50 	57.7 
539.00 	57.7 
538.50 	57.6 
538.00 	57.5 
537.50 	57.5 
537.00 	57.4 
536.50 	57.2 
536.00 	57.3 
535.50 	57.2 
535.00 	57.1 
534.50 	57.1 
534.00 	57.0 
533.50 	56.9 
533.00 	57.0 
532.50 	56.9 
532.00 	56.8 
531.50 	56.8 
531.00 	56.7 
530.50 	56.7 
530.00 	56.7 
529.50 	56.6 
529.00 	56.6 
528.50 	56.6 
528.00 	56.6 
527.50 	56.5 
527.00 	56.6 
526.50 	56.5 
526.00 	56.5 
525.50 	56.6 
525.00 	56.5 
524.50 	56.5 
524.00 	56.6 
523.50 	56.5 
523.00 	56.5 
522.50 	56.6 
522.00 	56.6 
521.50 	56.6 
521.00 	56.6 
520.50 	56.6 
520.00 	56.6 
519.50 	56.7 
519.00 	56.7 
518.50 	56.7 
518.00 	56.9 
517.50 	56.8 
517.00 	56.8 
516.50 	57.0 
516.00 	57.0 
515.50 	57.0 
515.00 	57.1 
514.50 	57.1 
514.00 	57.1 
513.50 	57.2 
513.00 	57.3 
512.50 	57.2 
512.00 	57.4 
511.50 	57.4 
511.00 	57.5 
510.50 	57.6 
510.00 	57.6 
509.50 	57.6 
509.00 	57.8 
508.50 	57.8 
508.00 	57.9 
507.50 	58.0 
507.00 	58.0 
506.50 	58.0 
506.00 	58.2 
505.50 	58.3 
505.00 	58.3 
504.50 	58.4 
504.00 	58.5 
503.50 	58.5 
503.00 	58.6 
502.50 	58.7 
502.00 	58.6 
501.50 	58.8 
501.00 	58.8 
500.50 	58.8 
500.00 	59.1 
499.50 	59.0 
499.00 	59.0 
498.50 	59.2 
498.00 	59.2 
497.50 	59.2 
497.00 	59.3 
496.50 	59.3 
496.00 	59.2 
495.50 	59.5 
495.00 	59.4 
494.50 	59.4 
494.00 	59.5 
493.50 	59.4 
493.00 	59.4 
492.50 	59.5 
492.00 	59.4 
491.50 	59.4 
491.00 	59.5 
490.50 	59.4 
490.00 	59.3 
489.50 	59.4 
489.00 	59.3 
488.50 	59.1 
488.00 	59.2 
487.50 	59.1 
487.00 	58.9 
486.50 	59.0 
486.00 	58.9 
485.50 	58.7 
485.00 	58.6 
484.50 	58.6 
484.00 	58.4 
483.50 	58.2 
483.00 	58.2 
482.50 	58.0 
482.00 	57.8 
481.50 	57.8 
481.00 	57.5 
480.50 	57.2 
480.00 	57.2 
479.50 	57.0 
479.00 	56.7 
478.50 	56.6 
478.00 	56.3 
477.50 	56.1 
477.00 	55.9 
476.50 	55.6 
476.00 	55.3 
475.50 	55.1 
475.00 	54.8 
474.50 	54.5 
474.00 	54.3 
473.50 	54.0 
473.00 	53.6 
472.50 	53.4 
472.00 	53.0 
471.50 	52.7 
471.00 	52.4 
470.50 	52.1 
470.00 	51.7 
469.50 	51.4 
469.00 	51.0 
468.50 	50.7 
468.00 	50.2 
467.50 	49.9 
467.00 	49.6 
466.50 	49.1 
466.00 	48.8 
465.50 	48.4 
465.00 	48.0 
464.50 	47.6 
464.00 	47.3 
463.50 	46.8 
463.00 	46.5 
462.50 	46.1 
462.00 	45.6 
461.50 	45.3 
461.00 	45.0 
460.50 	44.5 
460.00 	44.1 
459.50 	43.9 
459.00 	43.3 
458.50 	43.1 
458.00 	42.8 
457.50 	42.3 
457.00 	42.0 
456.50 	41.8 
456.00 	41.3 
455.50 	41.1 
455.00 	40.9 
454.50 	40.1 
454.00 	39.9 
453.50 	39.7 
453.00 	39.3 
452.50 	39.1 
452.00 	38.9 
451.50 	38.5 
451.00 	38.3 
450.50 	38.2 
450.00 	37.7 
449.50 	37.6 
449.00 	37.5 
448.50 	37.1 
448.00 	36.9 
447.50 	36.9 
447.00 	36.5 
446.50 	36.4 
446.00 	36.3 
445.50 	35.9 
445.00 	35.9 
444.50 	35.9 
444.00 	35.6 
443.50 	35.5 
443.00 	35.4 
442.50 	35.2 
442.00 	35.2 
441.50 	35.1 
441.00 	34.9 
440.50 	34.9 
440.00 	34.8 
439.50 	34.6 
439.00 	34.7 
438.50 	34.7 
438.00 	34.5 
437.50 	34.5 
437.00 	34.5 
436.50 	34.4 
436.00 	34.4 
435.50 	34.4 
435.00 	34.3 
434.50 	34.4 
434.00 	34.3 
433.50 	34.3 
433.00 	34.3 
432.50 	34.3 
432.00 	34.4 
431.50 	34.4 
431.00 	34.4 
430.50 	34.4 
430.00 	34.4 
429.50 	34.4 
429.00 	34.5 
428.50 	34.5 
428.00 	34.5 
427.50 	34.5 
427.00 	34.6 
426.50 	34.6 
426.00 	34.6 
425.50 	34.6 
425.00 	34.7 
424.50 	34.7 
424.00 	34.7 
423.50 	34.8 
423.00 	34.8 
422.50 	34.8 
422.00 	34.8 
421.50 	34.9 
421.00 	34.9 
420.50 	34.9 
420.00 	34.9 
419.50 	34.9 
419.00 	35.0 
418.50 	35.0 
418.00 	35.0 
417.50 	35.0 
417.00 	35.0 
416.50 	34.9 
416.00 	35.0 
415.50 	35.1 
415.00 	35.0 
414.50 	35.0 
414.00 	35.0 
413.50 	34.9 
413.00 	34.9 
412.50 	34.9 
412.00 	34.8 
411.50 	34.8 
411.00 	34.9 
410.50 	34.7 
410.00 	34.7 
409.50 	34.7 
409.00 	34.6 
408.50 	34.5 
408.00 	34.5 
407.50 	34.4 
407.00 	34.3 
406.50 	34.3 
406.00 	34.1 
405.50 	34.1 
405.00 	34.0 
404.50 	33.9 
404.00 	33.8 
403.50 	33.7 
403.00 	33.5 
402.50 	33.4 
402.00 	33.3 
401.50 	33.2 
401.00 	33.1 
400.50 	33.0 
400.00 	32.8 
399.50 	32.7 
399.00 	32.5 
398.50 	32.4 
398.00 	32.3 
397.50 	32.2 
397.00 	32.0 
396.50 	31.8 
396.00 	31.7 
395.50 	31.5 
395.00 	31.4 
394.50 	31.3 
394.00 	31.1 
393.50 	30.9 
393.00 	30.8 
392.50 	30.7 
392.00 	30.5 
391.50 	30.4 
391.00 	30.2 
390.50 	30.1 
390.00 	30.0 
389.50 	29.8 
389.00 	29.6 
388.50 	29.5 
388.00 	29.3 
387.50 	29.2 
387.00 	29.1 
386.50 	28.9 
386.00 	28.8 
385.50 	28.7 
385.00 	28.5 
384.50 	28.4 
384.00 	28.3 
383.50 	28.2 
383.00 	28.1 
382.50 	28.0 
382.00 	27.9 
381.50 	27.8 
381.00 	27.7 
380.50 	27.6 
380.00 	27.5 
379.50 	27.5 
379.00 	27.3 
378.50 	27.3 
378.00 	27.3 
377.50 	27.2 
377.00 	27.2 
376.50 	27.2 
376.00 	27.2 
375.50 	27.1 
375.00 	27.1 
374.50 	27.1 
374.00 	27.1 
373.50 	27.1 
373.00 	27.0 
372.50 	27.0 
372.00 	27.0 
371.50 	26.8 
371.00 	26.8 
370.50 	26.8 
370.00 	26.7 
369.50 	26.7 
369.00 	26.6 
368.50 	26.5 
368.00 	26.4 
367.50 	26.4 
367.00 	26.2 
366.50 	26.2 
366.00 	26.1 
365.50 	26.0 
365.00 	25.8 
364.50 	25.8 
364.00 	25.6 
363.50 	25.4 
363.00 	25.3 
362.50 	25.2 
362.00 	24.9 
361.50 	24.8 
361.00 	24.6 
360.50 	24.4 
360.00 	24.3 
359.50 	24.1 
359.00 	23.8 
358.50 	23.7 
358.00 	23.5 
357.50 	23.2 
357.00 	23.0 
356.50 	22.8 
356.00 	22.5 
355.50 	22.3 
355.00 	22.1 
354.50 	21.8 
354.00 	21.5 
353.50 	21.4 
353.00 	21.0 
352.50 	20.8 
352.00 	20.6 
351.50 	20.2 
351.00 	20.0 
350.50 	19.8 
350.00 	19.4 
349.50 	19.3 
349.00 	19.0 
348.50 	18.8 
348.00 	18.5 
347.50 	18.3 
347.00 	18.0 
346.50 	17.7 
346.00 	17.5 
345.50 	17.2 
345.00 	16.9 
344.50 	16.7 
344.00 	16.4 
343.50 	16.2 
343.00 	15.9 
342.50 	15.6 
342.00 	15.4 
341.50 	15.2 
341.00 	14.9 
340.50 	14.7 
340.00 	14.4 
339.50 	14.2 
339.00 	13.9 
338.50 	13.7 
338.00 	13.4 
337.50 	13.2 
337.00 	13.0 
336.50 	12.7 
336.00 	12.5 
335.50 	12.2 
335.00 	12.0 
334.50 	11.7 
334.00 	11.5 
333.50 	11.2 
333.00 	11.0 
332.50 	10.7 
332.00 	10.4 
331.50 	10.2 
331.00 	9.9 
330.50 	9.6 
330.00 	9.3 
329.50 	9.1 
329.00 	8.8 
328.50 	8.5 
328.00 	8.2 
327.50 	7.9 
327.00 	7.6 
326.50 	7.3 
326.00 	7.0 
325.50 	6.7 
325.00 	6.4 
324.50 	6.1 
324.00 	5.7 
323.50 	5.5 
323.00 	5.2 
322.50 	4.9 
322.00 	4.6 
321.50 	4.3 
321.00 	4.0 
320.50 	3.8 
320.00 	3.5 
319.50 	3.2 
319.00 	3.0 
318.50 	2.8 
318.00 	2.6 
317.50 	2.4 
317.00 	2.2 
316.50 	2.0 
316.00 	1.8 
315.50 	1.6 
315.00 	1.5 
314.50 	1.3 
314.00 	1.2 
313.50 	1.1 
313.00 	1.0 
312.50 	0.9 
312.00 	0.8 
311.50 	0.7 
311.00 	0.6 
310.50 	0.5 
310.00 	0.4 
309.50 	0.4 
309.00 	0.3 
308.50 	0.3 
308.00 	0.2 
307.50 	0.2 
307.00 	0.2 
306.50 	0.1 
306.00 	0.1 
305.50 	0.1 
305.00 	0.1 
304.50 	0.1 
304.00 	0.0 
303.50 	0.0 
303.00 	0.0 
302.50 	0.0 
302.00 	0.0 
301.50 	0.0 
301.00 	0.0 
300.50 	0.0 
300.00 	0.0 
